initNo 0.01 0.025 0.05 0.075 0.1 0.125 
101 197 199 53 35 32 32 
102 199 143 65 41 44 44 
103 199 199 104 170 68 199 
104 119 199 62 71 101 32 
105 199 107 152 35 107 74 
106 179 199 116 199 125 113 
107 199 140 80 122 92 80 
108 199 199 199 161 38 62 
109 199 199 65 164 104 47 
110 191 199 199 199 68 38 
111 199 188 71 65 199 199 
112 199 199 122 116 104 56 
113 199 199 182 56 56 56 
114 199 113 107 80 50 59 
115 199 134 179 110 107 89 
116 199 131 86 41 47 101 
117 199 199 98 128 110 110 
118 199 134 56 71 47 110 
119 155 101 59 38 56 32 
120 199 113 182 56 176 77 
121 199 199 143 122 47 50 
122 199 199 158 77 101 101 
123 199 119 56 68 50 80 
124 199 128 83 56 62 62 
125 199 199 191 134 113 92 
126 199 101 53 199 95 50 
127 197 199 199 44 44 199 
128 199 199 68 107 128 50 
129 199 199 152 74 44 26 
130 199 128 77 116 35 62 
131 199 199 77 44 35 59 
132 199 199 131 62 38 29 
133 199 199 119 113 143 107 
134 199 170 104 71 95 56 
135 199 199 146 131 50 92 
136 199 199 149 185 176 44 
137 199 199 77 77 98 29 
138 199 110 179 83 89 65 
139 197 199 176 89 50 32 
140 199 199 119 101 98 155 
141 199 199 110 62 38 38 
142 199 197 68 74 83 143 
143 199 199 161 77 44 29 
144 167 128 59 38 98 137 
145 199 113 50 38 140 47 
146 199 188 146 47 101 86 
147 199 101 65 47 44 29 
148 191 199 119 80 146 44 
149 199 199 80 74 110 134 
150 137 62 59 56 74 65 
151 158 86 53 38 44 23 
152 158 77 56 104 89 53 
153 191 125 98 47 32 65 
154 199 199 199 95 77 32 
155 199 199 62 68 50 29 
156 199 199 161 53 101 116 
157 199 199 80 53 38 32 
158 199 113 77 134 92 23 
159 199 199 185 182 44 92 
160 199 107 161 44 80 194 
161 188 199 116 110 86 68 
162 199 146 101 59 83 62 
163 199 104 98 44 35 32 
164 137 65 122 83 44 59 
165 199 199 199 110 113 71 
166 199 185 59 56 65 86 
167 199 176 50 71 41 47 
168 197 199 53 185 113 131 
169 199 199 59 128 137 29 
170 199 199 56 44 20 50 
171 199 125 199 116 35 32 
172 199 134 71 131 158 59 
173 199 199 170 161 47 128 
174 191 86 92 83 68 44 
175 110 59 62 89 47 29 
176 122 68 101 71 86 110 
177 199 173 50 119 56 128 
178 199 199 68 41 50 110 
179 199 167 71 95 62 56 
180 199 199 167 143 38 119 
181 199 176 116 68 125 149 
182 199 199 161 107 59 59 
183 199 89 116 113 134 44 
184 199 131 47 59 32 26 
185 199 199 77 53 29 26 
186 199 83 110 62 53 199 
187 146 199 56 41 92 41 
188 199 199 199 199 53 50 
189 199 107 74 92 59 35 
190 164 199 164 131 101 23 
191 164 199 92 38 50 29 
192 199 199 161 59 95 110 
193 199 199 38 83 47 23 
194 191 199 199 110 98 116 
195 152 199 62 74 44 95 
196 199 83 92 92 101 50 
197 155 77 128 26 59 38 
198 179 199 128 134 38 50 
199 185 199 197 53 56 41 
