49 54 49 50 43 51 107 110 161 199 
50 34 48 52 52 55 87 199 199 199 
51 30 60 47 46 66 58 125 199 72 
52 44 34 47 57 47 60 140 199 199 
53 51 33 42 57 65 88 199 72 199 
54 45 34 27 50 43 48 53 199 199 
55 67 61 53 54 58 69 60 199 199 
56 47 45 47 79 45 83 81 199 199 
57 25 44 50 43 66 63 98 199 199 
58 32 32 38 42 62 73 190 199 84 
59 40 33 47 42 47 54 111 199 199 
60 35 29 34 31 31 81 112 199 199 
61 69 25 34 43 65 53 55 199 199 
62 75 41 49 46 53 83 88 93 199 
63 44 34 48 51 53 65 199 199 199 
64 39 36 50 58 56 71 145 199 199 
65 35 39 37 42 39 165 55 199 199 
66 29 48 27 40 67 131 78 172 199 
67 48 40 71 56 54 83 84 199 199 
68 37 35 40 53 63 56 66 199 199 
69 72 60 53 59 73 49 151 199 199 
70 47 37 51 56 84 71 199 199 199 
71 45 48 47 46 56 67 199 199 199 
72 59 69 39 56 54 45 55 199 199 
73 42 42 46 44 32 60 118 199 199 
74 47 48 52 53 62 58 178 163 199 
75 57 49 54 51 112 69 95 199 199 
76 59 66 55 51 98 65 96 199 199 
77 44 39 38 42 45 108 60 199 199 
78 40 43 31 42 62 65 137 199 199 
79 59 42 44 44 105 78 62 199 199 
80 46 29 46 52 57 45 144 199 199 
81 26 40 40 45 40 43 105 199 199 
82 57 50 51 50 116 91 199 199 199 
83 41 48 50 50 40 53 199 199 199 
84 21 30 48 28 199 96 98 199 199 
85 20 49 33 57 53 198 150 199 199 
86 43 82 49 68 63 62 139 152 199 
87 45 42 41 48 71 199 199 199 199 
88 39 54 42 38 92 74 101 199 199 
89 33 34 40 46 66 199 199 199 199 
90 40 30 43 47 88 199 132 199 199 
91 14 47 44 44 34 46 120 199 189 
92 28 33 40 44 61 57 199 76 199 
93 28 30 36 43 41 46 60 199 199 
94 42 45 48 70 48 127 145 180 199 
95 36 48 51 47 57 59 48 199 199 
96 41 32 55 37 48 59 97 190 199 
97 51 47 43 42 54 76 185 199 199 
98 91 68 42 50 46 76 66 199 199 
99 23 28 39 33 53 72 106 84 199 
100 35 37 40 64 75 88 120 199 199 
101 37 45 40 51 53 122 199 197 199 
102 62 45 52 53 52 62 199 92 199 
103 29 50 43 37 45 133 40 199 199 
104 34 49 43 49 38 56 199 199 199 
105 45 76 64 71 65 83 139 162 199 
106 34 49 51 62 77 197 66 199 199 
107 43 52 49 48 52 74 64 199 199 
108 41 41 42 49 48 45 48 199 199 
109 32 38 50 40 53 74 199 68 199 
110 38 56 56 57 48 54 46 130 199 
111 46 38 43 55 124 62 107 67 199 
112 44 35 38 39 46 34 48 59 199 
113 42 40 37 42 47 46 199 199 199 
114 27 31 37 38 38 90 199 199 199 
115 41 45 44 67 49 82 199 70 199 
116 49 54 33 43 47 62 199 199 199 
117 34 49 46 53 49 65 100 199 199 
118 51 31 48 49 75 110 199 199 199 
