21 161 134 122 125 77 74 65 53 74 50 59 53 53 59 62 47 65 32 62 62 50 80 62 59 74 62 98 65 77 26 199 161 199 
22 89 62 71 68 62 56 71 68 104 50 53 32 38 65 47 50 62 59 56 29 44 56 50 62 65 71 65 134 199 199 199 143 199 
23 158 68 35 62 62 83 44 74 50 74 74 71 56 62 68 44 83 71 77 56 98 65 62 38 56 74 199 122 128 119 199 199 146 
24 128 71 74 71 62 56 68 71 59 116 71 53 71 56 56 71 71 59 89 68 74 59 83 56 71 104 56 74 125 179 107 179 199 
25 107 65 71 44 41 47 59 59 14 41 65 71 53 71 38 56 50 62 56 56 101 71 65 71 59 62 199 77 137 161 89 199 199 
26 74 53 53 56 53 50 41 65 44 41 59 71 56 53 56 65 44 65 56 59 65 47 56 53 47 71 113 44 95 137 104 199 167 
27 104 74 68 50 53 65 71 65 62 44 71 62 59 68 47 53 68 68 71 56 47 53 77 83 83 47 137 125 199 199 98 149 199 
28 56 65 50 65 68 68 77 80 104 53 86 56 65 65 59 83 50 41 110 74 65 47 65 56 113 65 119 65 116 199 199 20 199 
29 176 65 56 65 77 65 65 65 59 26 65 59 80 59 47 95 71 62 71 62 74 38 140 74 119 86 35 199 98 110 89 199 199 
30 128 122 119 80 56 83 65 62 62 71 83 86 131 38 71 62 53 47 59 74 56 65 86 68 41 125 83 137 170 149 164 199 199 
31 140 77 74 68 74 53 41 71 71 50 47 65 86 74 56 32 59 62 59 47 44 53 86 199 83 68 65 167 199 89 80 188 74 
32 68 38 56 74 59 53 62 71 71 80 83 65 50 68 80 62 53 74 59 101 68 50 77 59 53 101 116 134 199 143 199 199 199 
33 110 71 68 65 65 59 68 56 62 56 62 26 65 62 59 68 59 65 59 56 68 185 62 167 62 77 104 188 199 176 131 199 199 
34 197 107 65 53 56 56 65 62 50 56 41 41 59 65 74 68 62 35 68 62 134 80 68 68 80 125 89 101 104 89 199 199 199 
35 92 107 68 71 83 71 62 59 59 80 68 44 29 68 53 56 65 17 65 68 50 92 59 47 62 164 116 80 101 65 77 116 199 
36 122 47 41 53 56 56 47 56 44 50 56 62 98 71 53 59 53 47 53 53 44 65 62 47 56 80 59 56 56 199 35 199 199 
37 188 83 89 41 74 59 56 44 59 59 65 59 77 53 47 71 71 65 41 113 83 74 101 122 68 98 92 140 122 104 131 199 199 
38 98 74 59 65 74 74 44 62 41 68 41 38 56 62 41 50 65 65 50 32 80 71 53 62 71 65 71 125 128 44 89 176 199 
39 188 83 74 65 50 62 62 53 53 59 74 47 68 53 56 65 53 65 71 59 53 140 101 56 122 92 146 95 116 80 74 131 110 
40 199 68 62 68 50 56 59 68 41 26 59 35 59 38 59 44 59 62 68 74 47 86 41 47 62 50 59 119 68 158 199 199 199 
41 104 53 62 68 32 53 56 62 47 38 47 62 59 53 65 80 68 38 74 68 56 50 65 53 62 158 107 95 92 98 107 199 199 
42 110 71 68 56 62 62 74 65 56 65 44 56 65 65 29 44 59 44 56 107 26 71 62 71 71 11 89 47 74 199 77 26 199 
43 199 68 74 53 68 62 68 35 65 80 56 83 41 59 50 68 68 68 77 92 62 62 50 59 71 179 116 185 199 119 143 199 199 
44 143 14 65 65 53 38 65 65 95 65 50 53 50 68 68 44 38 71 74 74 47 41 92 77 80 116 107 134 167 199 199 199 71 
45 158 68 65 62 89 53 44 56 62 47 56 65 62 65 56 71 77 62 62 77 80 68 95 68 65 128 161 89 128 131 161 199 199 
46 104 68 71 65 56 41 68 41 68 56 71 44 62 50 65 35 71 56 68 47 68 65 74 98 98 68 80 161 128 161 134 47 199 
47 143 62 53 89 74 71 68 44 62 62 62 77 74 26 53 101 62 53 65 104 68 92 80 68 77 65 65 68 161 152 199 199 199 
48 116 83 53 59 56 38 59 59 44 50 47 44 74 62 50 53 65 50 71 77 65 62 77 80 92 59 68 53 98 59 173 65 155 
49 170 59 62 62 80 131 68 71 65 47 53 77 62 65 44 68 71 65 56 113 74 86 71 56 125 71 80 161 74 62 199 199 199 
50 182 62 68 53 53 53 53 59 68 41 44 59 62 56 44 59 62 62 53 62 80 59 158 107 59 56 71 59 74 65 89 65 199 
51 68 59 59 80 59 53 47 56 47 38 56 53 65 47 65 65 44 59 56 92 68 44 59 143 116 86 68 74 140 113 199 199 146 
52 143 92 62 59 62 107 92 71 53 47 47 65 53 80 68 38 71 53 50 56 71 53 59 95 71 161 50 71 95 107 44 161 170 
53 80 53 68 59 62 50 56 62 53 56 65 59 32 68 74 56 62 68 107 53 74 71 89 74 62 107 86 77 125 68 155 104 199 
54 74 65 98 122 137 56 68 62 50 62 50 68 59 68 59 65 62 62 80 56 68 50 197 38 56 47 128 86 161 83 199 199 199 
55 188 53 65 53 68 53 68 32 41 47 56 41 53 38 29 50 50 47 53 44 50 50 56 56 62 29 68 56 59 68 74 199 128 
56 98 65 65 74 53 62 74 65 74 71 83 62 62 59 65 56 53 65 50 77 47 86 62 32 44 68 74 146 113 77 199 199 199 
57 199 59 23 65 77 62 68 47 59 56 50 65 71 68 74 59 62 50 59 62 59 74 71 23 83 110 107 95 185 182 65 119 199 
58 199 98 38 65 77 68 59 77 62 74 62 53 53 47 17 62 53 68 47 125 50 68 65 77 74 83 83 98 140 149 98 125 179 
59 199 80 56 50 53 62 50 41 59 17 71 41 59 68 74 44 65 77 62 65 62 56 59 74 74 56 131 77 199 158 131 161 199 
60 176 80 44 89 53 68 62 59 74 23 62 74 65 41 56 47 56 62 59 128 53 53 71 77 8 77 65 62 53 199 199 83 128 
61 173 62 65 59 59 77 77 50 71 62 74 56 65 53 68 62 62 41 32 68 92 59 62 68 77 59 50 68 80 125 83 199 152 
62 68 50 71 56 29 44 44 77 98 53 32 68 71 68 53 74 59 62 56 71 53 59 80 134 68 77 83 134 56 53 199 161 199 
63 131 53 80 32 71 71 71 74 41 71 62 71 53 56 53 71 65 65 77 83 50 53 80 80 62 98 71 110 140 113 199 199 199 
64 95 59 56 35 71 59 53 53 56 50 62 59 83 101 65 77 65 50 65 56 89 47 77 89 125 53 47 179 86 86 185 199 199 
65 80 47 59 65 74 53 68 44 53 38 59 26 65 47 44 56 44 53 53 56 41 53 32 65 68 44 44 62 65 68 199 89 199 
66 104 98 71 68 71 80 71 56 62 53 77 59 62 68 65 62 53 41 47 65 68 68 80 47 65 47 65 62 77 68 199 80 199 
67 199 14 80 71 38 74 65 74 44 59 50 65 56 38 38 62 59 62 59 29 50 44 74 14 56 74 59 164 199 80 140 199 199 
68 131 65 47 98 53 53 71 62 59 44 23 50 53 65 80 59 65 71 56 50 71 62 50 68 89 77 71 56 83 104 161 182 199 
69 101 53 65 119 26 71 74 62 56 68 62 56 44 44 62 80 59 59 77 83 74 50 59 92 71 110 77 101 101 182 110 199 199 
70 92 65 26 59 47 44 53 47 47 83 59 56 47 56 71 59 56 62 65 50 53 101 68 68 89 50 122 50 77 199 92 146 199 
71 89 56 47 20 56 23 62 62 62 68 50 29 53 59 65 80 86 80 68 68 77 68 104 71 86 71 83 47 149 158 185 199 199 
72 152 77 44 47 35 74 80 77 80 65 71 53 50 77 68 77 65 83 44 77 71 74 53 80 77 98 89 83 101 199 152 199 199 
73 92 50 53 71 47 59 53 41 50 38 53 41 62 65 62 71 59 77 65 56 86 74 59 59 104 74 83 47 89 89 89 199 167 
74 191 59 47 65 74 68 62 65 71 71 59 35 65 62 68 65 59 59 68 44 65 74 80 74 86 77 98 134 119 89 143 119 80 
75 199 95 74 65 98 95 77 50 44 71 56 62 62 65 53 65 44 68 41 77 86 47 74 89 62 71 83 83 167 83 128 110 199 
76 68 65 41 50 59 38 47 68 53 65 56 56 59 53 44 74 62 50 71 62 62 47 77 92 95 71 62 86 131 191 199 83 179 
77 107 56 41 50 44 86 74 65 71 71 50 41 65 62 56 62 68 53 62 56 44 50 71 62 59 29 59 146 199 56 199 199 199 
78 119 59 41 56 56 41 50 98 68 59 68 56 65 20 68 50 62 59 65 53 128 71 32 65 155 104 104 149 89 152 86 199 199 
79 110 74 59 83 68 71 71 41 59 74 71 83 56 68 68 62 59 71 38 62 71 74 77 134 89 59 101 199 182 53 89 143 199 
80 134 56 59 62 53 50 62 50 53 56 53 44 59 29 56 50 44 68 71 65 38 56 47 77 80 56 161 140 161 143 86 80 161 
81 137 74 62 71 119 74 83 68 98 95 62 68 68 86 62 80 53 47 104 50 62 59 65 59 50 47 50 134 68 173 125 199 199 
82 80 62 53 62 62 65 56 53 53 59 59 53 59 59 32 47 50 59 59 80 68 62 53 53 149 65 62 65 59 62 62 41 71 
83 113 62 86 68 44 56 50 56 44 59 56 44 62 62 62 83 56 71 68 65 68 101 56 95 71 86 62 128 80 199 131 199 199 
84 113 119 68 53 59 65 50 62 56 80 65 47 44 68 68 62 62 83 86 44 62 50 65 80 74 83 128 122 179 199 107 113 199 
85 173 50 80 62 86 56 62 71 35 59 83 47 80 59 83 68 50 62 53 62 56 68 83 113 50 104 74 86 71 173 101 77 199 
86 83 71 47 65 53 62 77 65 80 65 65 35 62 68 83 53 74 77 77 44 62 65 71 77 62 59 113 125 86 167 92 199 170 
87 143 68 74 35 68 65 41 71 68 65 65 59 62 62 50 65 56 74 59 50 86 68 80 95 107 86 101 89 116 199 191 199 199 
88 119 56 65 68 53 71 56 47 68 59 62 47 74 56 44 65 50 65 56 59 86 86 95 53 59 71 83 74 113 113 194 199 185 
89 179 56 65 62 50 53 71 59 62 35 38 68 29 65 56 50 62 53 56 59 59 56 62 38 41 68 71 62 65 110 71 107 95 
