54 34 44 49 38 54 64 53 70 199 86 86 199 188 199 199 130 199 199 199 199 
55 30 26 45 40 64 71 62 67 115 199 86 162 199 199 199 199 199 199 199 199 
56 139 50 49 68 92 60 100 77 57 173 199 91 199 199 199 199 142 199 199 199 
57 83 62 52 54 75 56 60 187 100 99 145 199 82 199 165 199 199 199 112 199 
58 110 64 50 61 73 88 92 177 75 80 199 126 90 199 72 199 199 199 120 160 
59 62 35 44 59 45 91 92 60 64 77 74 97 136 90 199 199 199 199 199 199 
60 95 59 54 63 71 77 61 61 199 199 199 199 199 199 199 199 199 199 199 199 
61 14 58 89 85 54 111 147 60 69 90 199 187 199 73 199 199 199 199 199 199 
62 91 34 74 51 59 83 100 61 78 199 73 199 127 171 199 199 199 199 199 199 
63 42 49 44 70 69 57 66 74 77 79 109 165 199 111 199 199 133 199 199 199 
64 74 59 53 58 56 60 82 199 133 98 196 76 111 106 199 199 199 199 199 199 
65 95 102 76 47 49 48 81 69 80 94 199 199 199 149 199 123 199 199 199 199 
66 14 39 50 42 118 54 67 70 88 112 118 95 199 199 199 127 199 199 199 199 
67 51 43 38 52 74 48 78 54 199 57 199 199 147 101 199 199 137 199 199 199 
68 68 56 49 45 60 53 108 149 77 199 199 199 102 104 133 199 176 199 199 199 
69 50 46 65 48 41 52 62 81 199 76 90 199 98 79 154 199 187 131 115 199 
70 70 58 52 43 49 50 96 116 77 97 85 172 199 90 118 199 199 199 199 199 
71 81 55 53 49 49 50 75 86 79 160 130 79 199 199 199 152 199 199 199 199 
72 74 76 78 78 59 63 87 97 169 101 119 199 108 199 199 199 130 199 199 199 
73 105 81 64 50 68 69 69 199 63 70 121 154 87 110 199 120 199 199 78 199 
74 165 118 39 109 55 143 81 72 62 152 199 120 80 143 199 199 199 199 199 199 
75 78 46 53 48 56 61 88 69 78 75 86 199 199 199 199 199 199 199 199 122 
76 51 76 81 43 78 59 199 70 199 89 199 199 199 90 199 150 149 199 199 199 
77 48 98 86 54 51 64 90 76 73 61 199 113 199 199 199 199 112 199 199 199 
78 70 50 42 41 48 36 70 51 92 72 96 199 199 199 199 133 199 199 199 199 
79 20 37 34 34 66 51 66 74 199 57 199 149 199 108 169 145 189 199 199 199 
