47 122 77 68 65 83 71 53 89 68 41 50 71 77 41 32 71 68 71 77 71 56 92 101 140 199 199 
48 194 56 47 62 47 53 71 56 32 53 62 71 65 41 65 47 53 50 83 56 98 86 65 199 199 125 
49 92 68 59 56 71 62 50 56 59 65 44 56 62 53 101 47 62 80 29 74 68 86 199 119 199 199 
50 143 83 53 56 38 77 26 56 53 23 56 50 53 53 59 32 119 95 71 71 71 62 167 161 146 158 
51 62 68 47 53 53 68 38 47 59 71 59 65 59 62 107 53 74 65 101 89 95 125 199 50 188 199 
52 110 86 44 56 50 23 80 77 20 44 38 62 77 59 68 65 68 101 59 83 86 77 65 197 161 199 
53 47 59 53 59 56 77 71 50 71 41 74 68 65 59 74 71 74 71 89 65 77 104 74 98 199 199 
54 77 89 50 65 62 65 65 83 77 29 71 65 41 62 68 65 65 65 56 71 77 146 116 199 199 199 
55 152 83 62 65 74 77 56 50 53 56 47 29 47 41 44 59 50 59 62 77 83 80 188 199 199 199 
56 83 50 38 62 32 65 74 68 56 56 71 68 74 65 41 77 71 77 68 62 101 110 137 167 199 199 
57 179 74 71 68 74 32 47 47 38 77 68 53 65 29 62 50 56 77 104 59 131 80 188 134 199 32 
58 191 107 56 56 56 62 56 62 62 59 62 62 71 53 80 71 50 68 74 68 101 107 80 131 199 199 
59 199 56 68 56 65 71 68 65 62 86 35 53 59 65 68 62 47 71 68 65 65 143 104 77 199 199 
60 140 80 128 83 59 62 74 44 62 44 59 50 65 41 59 65 23 65 62 47 131 59 77 119 199 199 
61 155 86 68 38 53 56 29 38 62 38 56 59 59 65 77 53 29 53 50 65 95 134 86 110 199 188 
62 56 56 44 71 56 68 56 47 44 59 56 62 68 56 47 53 65 80 86 53 77 107 119 199 199 161 
63 107 80 62 56 68 50 77 47 65 62 50 65 59 26 74 80 68 74 62 77 77 199 113 179 199 199 
64 89 50 65 71 74 56 71 59 68 65 32 53 62 65 77 65 50 59 71 56 71 92 119 77 107 199 
65 38 50 44 65 59 38 59 44 56 92 50 62 26 68 59 77 41 44 59 50 59 68 41 89 199 199 
66 110 125 77 65 68 44 65 62 47 38 59 53 71 62 56 59 50 41 83 110 68 92 104 199 161 116 
67 199 86 74 77 59 77 74 47 35 71 68 62 59 71 47 44 74 83 44 62 62 173 92 101 44 199 
68 95 68 107 65 56 53 71 53 62 29 62 50 68 68 53 59 59 80 71 107 143 161 104 199 199 116 
69 74 68 92 71 47 74 62 71 47 56 59 71 53 47 59 50 77 29 68 65 92 104 161 194 199 119 
70 83 53 71 71 38 68 65 68 65 74 56 65 65 38 35 74 65 65 74 56 95 59 128 199 199 185 
71 80 65 41 59 65 56 50 62 65 47 50 65 71 50 68 20 56 77 86 86 199 149 116 140 122 199 
72 199 53 62 71 74 68 59 56 71 77 68 71 65 44 71 74 68 41 86 155 140 161 164 199 199 199 
73 80 50 62 53 53 68 50 53 44 38 59 50 14 65 65 53 44 47 62 83 47 86 167 199 199 199 
74 158 41 71 59 50 56 62 62 71 50 80 77 77 41 53 41 62 65 62 59 77 104 98 149 199 199 
75 188 80 59 71 38 56 41 65 56 50 71 47 53 53 38 56 44 65 74 62 68 155 98 199 199 197 
76 68 53 59 59 71 53 56 68 68 77 62 62 62 59 47 50 125 86 71 65 101 199 170 137 199 199 
77 17 68 47 62 62 62 41 53 59 56 59 41 59 68 74 47 77 62 65 53 80 38 104 131 199 199 
78 101 65 68 74 59 44 65 65 59 53 59 62 68 77 53 71 47 59 83 74 92 95 128 110 199 199 
79 89 71 80 71 77 74 80 77 77 59 47 56 68 59 74 68 68 29 71 74 77 199 199 74 199 199 
80 110 53 68 56 50 41 56 56 65 77 62 44 56 53 50 62 20 56 65 59 137 74 199 155 98 92 
81 116 77 68 56 56 95 68 80 20 74 71 59 53 56 59 44 80 80 74 74 89 65 86 128 199 104 
82 68 71 53 23 62 59 56 50 59 59 53 59 62 68 68 50 74 53 56 56 92 59 161 68 199 95 
83 95 83 71 50 53 80 68 65 56 62 53 59 59 71 74 50 74 95 86 86 128 92 134 110 199 128 
84 95 38 50 71 62 53 62 65 68 59 56 65 62 68 62 71 41 65 80 92 71 167 199 149 199 146 
85 182 98 53 41 80 74 71 38 65 44 104 59 62 56 68 71 71 59 59 80 74 68 101 199 199 199 
86 62 65 71 71 65 38 56 59 65 65 89 86 41 47 77 53 23 80 74 86 86 80 140 194 146 199 
87 176 74 59 56 50 65 59 44 71 68 62 77 50 77 62 41 77 56 95 199 137 125 199 86 152 199 
88 83 50 62 47 41 47 38 53 62 56 65 71 65 68 50 47 131 14 74 116 41 89 125 158 199 199 
89 158 71 26 56 38 41 74 59 59 44 41 83 53 41 68 62 50 80 38 53 68 44 173 50 104 199 
90 125 62 32 71 71 50 77 50 26 44 86 68 41 56 65 62 62 47 65 104 59 74 107 98 80 104 
91 74 50 62 53 53 68 77 65 59 56 71 47 59 74 47 62 62 68 74 173 107 179 113 149 116 199 
92 104 35 65 71 65 71 59 74 47 50 62 77 74 95 65 83 77 77 65 119 131 95 101 199 179 199 
93 92 62 71 53 53 53 59 62 65 44 38 47 68 89 71 50 56 128 80 53 83 80 71 199 199 179 
94 167 83 41 65 44 65 65 44 29 59 74 71 71 53 68 59 62 26 53 71 80 56 59 56 98 199 
95 179 80 59 59 68 59 59 38 71 71 71 38 44 68 68 71 68 62 80 83 77 122 80 41 199 199 
96 50 44 44 53 59 62 74 65 68 62 95 71 65 68 119 83 77 77 74 62 89 179 101 125 161 86 
97 176 110 53 74 65 68 65 41 59 47 71 56 53 53 80 56 68 71 80 119 101 92 98 182 119 199 
98 113 47 65 56 56 56 77 44 50 59 53 56 50 86 74 80 65 101 83 71 98 80 149 199 185 199 
99 86 53 44 65 50 44 35 44 41 74 71 26 65 68 50 71 74 59 80 104 161 77 199 199 199 167 
