64 14 31 47 45 53 61 46 59 57 49 72 70 87 122 57 73 112 80 182 130 199 199 199 199 199 199 199 199 199 199 199 199 
65 33 30 24 40 36 63 52 60 71 60 43 62 199 135 199 55 199 199 132 84 199 199 178 199 199 199 199 199 199 199 199 199 
66 18 40 39 36 32 46 54 57 68 47 58 64 77 199 53 70 99 105 103 106 199 199 131 199 97 199 199 199 199 199 199 199 
67 76 44 38 47 43 68 52 49 52 100 60 47 126 55 130 168 199 199 96 91 119 199 172 199 199 199 199 199 199 199 199 199 
68 40 21 51 48 45 83 45 53 62 54 61 79 47 74 58 73 82 68 199 199 199 144 199 199 199 199 199 199 128 199 199 199 
69 44 74 50 51 37 72 49 53 53 55 128 42 62 68 70 126 199 174 100 69 124 199 190 199 199 199 199 199 199 199 199 199 
70 43 36 37 42 41 54 62 70 64 56 56 116 76 64 113 199 139 199 113 199 199 199 148 199 86 199 150 199 199 199 126 199 
71 48 41 39 47 47 43 84 54 51 49 56 54 58 62 88 98 90 199 66 199 199 199 176 188 199 184 199 199 199 199 199 199 
72 72 51 61 23 53 32 40 36 57 73 53 51 75 87 97 68 199 199 65 199 137 99 199 199 199 103 199 199 199 199 199 199 
73 43 33 32 40 45 38 35 52 65 62 65 63 74 68 58 89 131 158 79 158 199 199 124 199 85 87 199 190 199 199 199 199 
74 25 41 47 38 34 46 39 40 49 55 49 94 137 104 56 61 87 74 75 72 118 199 199 199 199 199 199 199 199 199 199 199 
75 99 52 25 45 89 49 59 68 65 78 57 61 199 71 44 79 136 140 199 199 108 199 199 199 199 199 199 199 199 199 199 199 
76 42 51 52 41 55 57 42 52 60 60 58 65 92 74 111 91 85 199 92 71 199 199 199 199 132 199 199 199 199 199 199 199 
77 22 20 33 35 40 40 45 44 52 56 50 59 71 62 76 157 95 160 199 68 98 79 166 199 77 199 199 199 199 199 199 199 
78 36 27 24 36 39 66 44 62 75 59 102 63 58 58 54 68 118 117 72 82 169 199 105 199 82 199 199 199 199 199 199 199 
79 75 54 38 39 41 53 66 59 53 199 80 64 74 54 199 87 199 55 142 66 180 118 199 199 199 199 199 199 199 199 199 199 
80 18 34 36 34 27 51 44 44 48 57 64 57 148 90 57 77 67 66 144 97 85 199 199 62 199 199 199 199 199 199 199 199 
81 38 21 32 37 39 51 74 60 88 55 90 58 48 54 101 86 72 199 82 199 122 199 195 199 199 199 199 199 199 199 199 199 
82 29 28 48 34 42 69 47 60 63 49 199 60 59 137 77 70 64 199 74 199 83 199 106 199 144 199 199 199 199 199 199 199 
83 61 33 39 42 46 49 50 60 69 64 66 69 98 66 60 66 199 58 199 199 66 199 199 199 199 133 199 199 199 199 199 199 
84 51 29 34 39 57 41 43 49 47 72 42 96 98 90 64 199 72 199 67 115 199 199 199 199 199 199 199 199 199 199 199 199 
85 21 30 49 34 41 199 35 53 67 97 65 59 98 67 80 119 76 157 134 121 104 199 199 129 199 199 127 122 199 168 199 199 
86 53 51 48 29 41 51 43 48 65 74 53 60 36 76 59 199 68 199 61 80 199 107 111 199 137 199 199 199 199 199 199 199 
87 42 33 31 29 47 78 54 67 62 64 77 54 86 199 61 101 94 63 117 68 119 157 199 199 199 199 199 199 199 199 199 199 
88 30 53 49 44 40 53 59 47 73 70 62 67 162 63 94 74 67 71 69 147 93 199 199 199 199 199 199 199 199 199 199 199 
89 35 17 29 26 44 52 52 76 57 78 51 72 82 58 137 75 199 67 91 108 199 199 199 86 123 199 199 199 199 199 199 199 
90 32 20 34 32 44 43 57 40 50 68 97 41 76 77 142 86 85 108 152 68 114 141 199 100 199 199 199 199 199 199 199 199 
91 54 50 47 33 36 48 59 62 58 59 47 69 53 199 112 70 103 64 76 199 199 106 140 199 199 199 199 199 199 199 199 199 
92 26 35 32 43 31 59 50 54 32 55 67 62 54 81 65 80 83 85 199 199 199 199 199 199 199 199 199 199 199 199 199 199 
93 24 13 21 30 42 69 46 61 54 93 56 123 75 82 59 57 94 64 199 199 166 76 118 199 199 199 199 199 199 199 199 199 
94 49 48 67 47 43 51 63 55 50 57 71 65 63 61 62 58 79 199 199 165 199 134 151 116 199 199 199 199 199 199 199 199 
95 66 35 37 40 38 47 49 53 50 56 44 54 109 62 97 83 79 73 199 84 79 199 88 199 199 199 199 199 199 199 199 199 
