41 137 50 68 53 65 74 74 77 71 68 62 83 80 71 92 86 158 98 68 101 104 182 119 199 
42 173 47 77 41 41 47 68 62 47 29 182 95 53 104 77 74 86 199 53 119 107 199 119 199 
43 182 26 62 44 56 65 74 68 119 26 86 47 83 68 56 68 56 92 62 128 92 131 199 131 
44 199 41 65 50 50 47 62 41 89 86 47 77 59 95 68 179 125 199 62 199 107 107 199 199 
45 155 56 53 56 83 35 41 74 68 68 86 110 74 89 98 80 199 95 89 199 152 199 131 199 
46 199 65 68 59 53 86 56 74 116 68 65 53 77 89 62 107 56 119 143 199 65 173 199 199 
47 199 47 50 74 56 95 29 116 71 65 56 62 199 83 89 56 143 199 137 116 107 149 199 199 
48 199 62 47 77 65 62 68 92 44 59 47 80 199 59 86 86 107 122 149 65 199 199 98 122 
49 164 86 65 44 44 29 80 107 65 62 56 110 92 98 59 199 95 77 89 149 140 182 158 199 
50 149 62 53 65 59 74 104 56 77 83 53 68 74 80 50 137 80 71 83 137 137 134 199 199 
51 199 98 65 56 53 65 59 65 50 62 77 71 80 86 83 59 65 95 199 95 107 128 199 199 
52 199 71 32 53 77 71 62 65 71 68 68 56 62 104 62 77 95 101 122 77 86 107 199 199 
53 199 62 59 44 53 65 71 68 86 41 86 44 80 68 74 119 77 80 146 199 143 199 176 199 
54 199 71 29 62 59 53 26 59 65 77 44 47 65 71 71 98 83 95 74 89 113 29 116 199 
55 199 53 56 44 68 56 62 86 38 86 146 116 77 98 89 83 71 199 98 107 199 164 194 199 
56 149 59 17 56 65 86 50 50 74 68 146 65 56 80 56 83 104 80 104 83 113 199 199 199 
57 199 71 68 80 17 53 71 71 110 59 71 71 62 74 71 71 80 98 152 176 199 107 199 199 
58 199 32 26 50 35 62 38 44 56 56 83 65 74 44 59 80 74 104 86 92 199 110 188 125 
59 199 56 56 41 50 50 71 83 80 68 92 140 95 74 74 71 104 199 83 110 155 110 199 199 
60 164 65 53 74 62 68 38 38 47 98 74 47 110 86 77 89 68 199 107 101 140 199 140 149 
61 155 53 68 38 56 59 59 71 68 65 65 56 86 80 89 71 95 92 95 107 199 110 116 119 
62 155 56 65 65 44 71 59 71 17 65 68 53 74 89 77 92 92 65 86 83 199 119 199 199 
63 199 68 35 68 80 56 56 62 62 32 71 83 71 74 176 80 98 83 101 32 128 143 149 140 
64 199 83 80 77 47 74 71 125 83 80 47 86 86 56 98 68 35 83 38 74 131 122 50 199 
65 199 65 41 32 59 74 41 62 74 68 77 44 77 83 74 92 89 53 77 199 199 119 199 199 
66 199 113 113 44 44 89 47 83 59 65 101 56 53 74 107 41 62 92 71 77 95 92 199 199 
67 199 65 35 65 41 71 41 62 62 101 68 68 62 74 74 89 101 92 98 74 74 125 131 199 
68 199 71 44 59 41 29 86 50 65 95 50 80 74 62 80 53 101 197 101 107 44 199 143 125 
69 182 53 68 56 56 59 53 68 35 65 29 65 62 65 98 89 199 199 53 95 199 199 83 199 
70 125 41 56 77 59 56 50 44 65 80 74 74 77 62 83 170 101 199 92 119 199 20 199 92 
71 199 68 80 47 74 50 71 77 74 95 56 80 56 83 185 59 107 199 110 155 92 98 199 152 
72 199 65 71 62 62 41 74 68 62 68 71 53 89 146 77 68 35 38 98 116 199 143 119 143 
73 199 59 59 47 59 62 65 59 59 47 59 83 62 83 59 62 71 182 199 122 119 104 199 197 
74 164 47 65 53 62 62 44 74 77 65 71 95 83 80 62 71 95 89 98 95 125 89 199 164 
75 199 56 53 74 68 116 59 47 56 71 110 17 77 83 83 80 80 199 149 86 110 199 199 199 
76 199 65 29 71 68 32 56 74 74 74 50 80 80 92 86 146 83 107 68 199 199 104 182 199 
77 146 56 59 50 68 89 65 44 59 65 113 80 86 86 74 68 86 92 98 98 199 199 152 199 
78 199 68 65 68 71 59 68 35 53 71 77 41 62 74 77 74 68 65 80 86 199 199 199 158 
79 199 110 77 68 68 68 17 68 53 74 56 74 107 59 77 71 86 77 199 113 80 199 199 199 
80 185 59 71 71 56 17 68 77 71 68 71 56 56 119 83 92 59 113 101 104 134 140 131 68 
81 149 53 35 29 56 59 65 80 74 44 62 50 68 89 77 92 194 116 125 101 199 152 199 199 
82 199 53 50 65 32 59 80 83 65 56 47 101 65 71 77 71 74 199 137 89 122 113 199 155 
83 199 89 56 50 62 59 74 50 59 53 11 104 86 74 47 77 62 199 89 122 62 131 199 125 
