initNo 0.01 0.025 0.05 0.075 0.1 0.125 
96 167 199 77 119 59 80 
97 164 101 62 104 53 86 
98 164 95 98 95 80 68 
99 182 152 71 68 125 80 
100 199 116 44 83 89 98 
101 199 199 185 80 83 95 
102 199 68 92 71 140 89 
103 199 199 125 137 83 68 
104 161 137 80 131 107 80 
105 170 155 86 77 68 83 
106 119 89 110 86 68 77 
107 176 92 98 71 104 152 
108 119 122 50 68 62 122 
109 143 122 80 68 80 68 
110 185 182 83 71 62 116 
111 170 158 116 101 83 113 
112 199 199 107 53 83 89 
113 164 119 80 56 77 92 
114 170 158 89 59 152 68 
115 158 149 71 59 83 77 
116 199 107 128 68 44 80 
117 188 199 98 83 80 44 
118 199 173 131 11 98 80 
119 199 80 71 68 83 65 
120 185 146 125 89 92 74 
121 199 182 83 113 83 89 
122 199 199 110 11 41 80 
123 161 199 110 104 89 107 
124 110 77 107 101 104 80 
125 199 89 59 104 95 92 
126 199 128 80 80 47 65 
127 199 167 77 149 68 80 
128 182 101 89 53 134 80 
129 167 199 98 92 119 86 
130 199 98 134 128 14 74 
131 199 95 194 92 77 83 
132 199 119 92 92 140 92 
133 199 95 47 62 146 86 
134 179 98 128 92 83 56 
135 199 155 110 80 62 65 
136 152 128 140 80 83 128 
137 107 199 86 116 122 77 
138 199 134 98 47 74 83 
139 110 86 122 50 77 74 
140 134 101 83 80 83 74 
141 199 107 89 53 74 83 
142 197 101 89 74 77 59 
143 199 149 77 71 71 80 
144 199 89 95 86 77 101 
145 199 110 101 98 74 131 
146 173 188 74 95 68 68 
147 167 199 83 179 80 101 
148 128 77 65 119 95 68 
149 199 137 146 110 152 92 
150 107 134 110 101 131 74 
151 199 199 53 68 65 56 
152 125 199 95 107 71 128 
153 185 74 179 62 89 65 
154 199 167 137 86 74 104 
155 199 199 74 80 86 71 
156 199 95 89 77 65 101 
157 199 176 134 83 68 83 
158 131 199 152 116 92 101 
159 199 146 83 71 59 65 
160 137 80 68 89 128 149 
161 199 113 161 56 59 74 
162 199 199 158 98 89 86 
163 199 125 86 101 86 71 
164 119 199 173 104 107 92 
165 29 104 71 65 38 74 
166 199 161 92 74 62 62 
167 170 110 170 38 113 62 
168 149 199 101 80 74 74 
169 167 98 104 80 110 68 
170 152 77 113 74 65 89 
171 92 143 95 101 95 89 
172 199 199 179 65 68 83 
173 199 197 98 89 86 68 
174 199 95 95 92 119 47 
175 80 83 65 74 50 65 
176 95 95 86 71 89 80 
177 199 191 95 77 56 83 
178 199 134 77 71 71 80 
179 167 101 158 86 83 134 
180 155 92 80 95 74 74 
181 199 119 122 77 71 107 
182 199 116 86 59 74 104 
183 119 199 199 131 101 59 
184 199 128 80 89 83 71 
185 199 199 146 74 104 86 
186 191 179 86 86 86 158 
187 143 89 92 74 86 89 
188 110 92 83 131 80 77 
189 107 194 146 71 86 86 
190 143 92 119 74 71 68 
191 199 104 65 95 110 92 
192 71 65 77 161 74 74 
193 199 199 182 104 83 98 
194 199 77 143 83 158 119 
195 199 188 104 83 194 62 
196 164 199 77 74 50 107 
197 199 86 65 104 56 74 
198 188 146 80 83 110 74 
199 199 199 199 98 74 77 
