51 199 128 62 65 62 53 68 65 56 128 95 77 199 188 
52 101 74 62 62 86 59 44 53 74 74 155 59 199 199 
53 199 134 77 65 53 89 47 59 62 77 32 74 62 131 
54 199 71 56 74 77 32 59 68 74 104 86 74 83 199 
55 83 56 38 62 53 59 59 68 68 53 161 92 77 199 
56 77 74 47 47 62 71 65 65 53 86 86 101 199 199 
57 107 104 80 68 71 62 62 56 53 80 149 86 92 199 
58 179 56 56 62 59 83 44 59 59 65 68 110 199 161 
59 101 74 62 53 80 68 68 62 56 62 59 68 199 199 
60 113 29 71 44 47 53 50 80 77 59 56 74 95 92 
61 140 59 59 86 56 65 74 80 59 53 80 77 199 199 
62 74 59 53 62 62 92 77 83 41 53 113 107 68 164 
63 197 38 56 38 53 20 74 41 86 68 122 86 199 199 
64 199 56 65 68 77 77 74 65 68 62 77 95 149 199 
65 188 77 62 56 56 56 68 74 56 50 74 68 65 199 
66 125 77 53 80 41 74 62 56 56 56 62 101 77 194 
67 80 71 32 38 71 71 68 65 104 62 80 98 199 199 
68 122 68 29 68 77 65 56 65 74 59 83 68 191 199 
69 113 92 68 71 77 68 59 50 47 44 50 92 158 199 
70 199 80 50 44 77 65 47 62 59 68 59 62 77 199 
71 131 59 44 74 65 53 47 44 74 74 56 62 179 182 
72 95 68 65 59 62 92 44 68 77 77 68 80 173 199 
73 86 71 56 74 53 68 83 56 68 95 74 83 199 199 
74 95 47 50 62 50 56 50 65 53 128 62 56 95 199 
75 95 68 59 29 122 68 68 41 104 71 77 92 92 146 
76 152 86 68 65 68 59 74 74 59 68 71 125 62 199 
77 65 56 56 62 71 86 32 56 41 95 50 199 47 199 
78 199 71 89 65 44 50 68 50 53 95 62 62 68 199 
79 199 47 125 77 65 53 80 65 59 89 68 101 199 199 
80 199 122 71 59 71 53 65 56 44 65 71 199 167 77 
81 41 62 65 74 95 68 47 71 71 77 50 71 199 199 
82 119 74 50 53 77 101 80 92 68 77 98 95 104 199 
83 17 56 56 68 77 74 53 53 116 68 80 71 50 199 
84 125 65 59 62 59 50 68 80 32 68 71 50 199 199 
85 110 95 74 77 68 44 62 86 41 74 65 65 110 199 
86 71 59 74 35 68 71 83 77 65 95 47 131 68 125 
87 152 59 59 62 62 62 92 71 89 116 98 89 161 199 
88 131 107 74 80 50 71 56 62 62 80 77 50 199 197 
89 110 74 53 59 53 65 41 65 53 62 77 71 86 140 
90 199 56 68 59 71 59 62 20 62 56 56 56 71 128 
91 199 71 56 41 65 41 101 74 35 56 89 23 146 199 
92 92 71 44 71 92 74 92 29 80 77 68 77 199 116 
93 119 89 125 17 56 35 86 59 68 83 101 32 199 199 
94 113 53 77 53 74 71 8 32 74 62 77 107 98 119 
95 199 128 74 62 68 77 65 56 74 74 71 71 62 199 
96 134 35 53 77 35 59 53 47 65 65 68 98 199 199 
97 116 68 65 65 74 65 77 89 74 56 80 86 199 199 
98 199 83 77 59 59 59 50 65 50 68 134 122 164 92 
99 199 65 68 47 53 50 71 62 35 53 86 110 199 199 
100 77 62 38 62 68 56 74 53 68 77 62 122 119 158 
101 199 80 74 98 98 53 68 77 59 77 83 74 188 199 
102 80 50 32 53 62 71 44 65 56 56 65 65 68 199 
103 167 83 74 50 38 80 47 95 50 68 80 176 146 199 
104 95 83 83 68 56 11 53 65 59 80 53 101 155 199 
105 199 101 92 83 68 8 74 53 8 80 68 128 125 199 
106 107 71 98 53 59 89 62 44 59 53 74 83 98 199 
107 179 101 59 68 44 56 86 65 71 128 80 71 199 92 
108 199 68 68 59 74 77 53 68 71 74 101 128 83 62 
109 80 71 77 74 56 62 71 71 77 71 92 110 179 125 
110 146 125 86 92 53 77 41 68 68 59 86 131 101 199 
111 80 44 74 74 74 38 59 71 53 68 41 56 146 199 
112 116 62 131 83 56 65 62 29 68 68 41 86 23 199 
113 199 131 110 71 80 59 68 53 50 35 56 68 191 199 
114 125 68 74 77 53 56 59 89 44 86 56 47 92 199 
115 83 95 47 80 59 68 59 56 62 53 71 116 199 199 
116 65 47 65 50 83 68 23 56 77 59 41 125 119 199 
117 199 119 74 77 83 50 65 74 80 89 71 107 104 199 
118 95 68 62 77 44 59 68 62 107 77 131 107 98 199 
119 95 68 29 77 65 86 53 62 68 104 71 161 197 152 
120 140 146 77 53 56 53 56 71 74 53 83 62 74 119 
121 83 101 86 65 68 71 68 50 68 80 59 62 134 113 
122 199 68 65 62 68 41 71 59 77 68 59 92 98 199 
123 95 53 59 29 62 59 26 62 59 77 71 62 113 199 
124 173 65 80 62 74 53 68 47 71 95 74 101 199 199 
125 113 62 44 56 62 65 62 47 62 44 77 68 62 113 
126 98 59 89 68 65 59 56 56 38 74 107 125 199 53 
127 199 86 65 92 62 47 44 44 74 65 83 71 152 199 
128 71 65 80 38 59 53 38 77 86 77 74 92 74 199 
129 152 146 65 56 65 62 92 53 65 98 65 74 110 199 
130 137 71 98 86 95 59 62 56 110 77 89 113 125 199 
131 199 71 29 104 92 59 86 47 104 56 71 152 199 199 
132 161 77 89 41 65 41 59 71 35 68 38 104 152 77 
133 80 62 53 62 62 50 65 71 65 68 65 89 95 188 
134 199 98 71 71 71 56 65 44 83 62 86 80 62 199 
135 143 65 59 68 65 47 71 56 68 35 89 199 199 107 
136 199 80 86 59 68 56 86 62 68 74 83 170 199 199 
137 80 83 98 38 86 68 62 53 74 41 77 56 62 199 
138 176 74 59 62 65 47 41 92 56 50 68 98 199 199 
139 199 98 50 20 71 65 62 50 77 65 71 140 50 199 
140 80 38 50 56 62 71 59 59 56 56 107 134 176 199 
141 173 86 92 83 65 41 50 74 56 71 53 65 122 199 
142 113 71 62 62 65 53 59 80 68 59 95 83 77 199 
143 199 125 83 32 44 53 59 62 62 92 68 110 98 173 
144 86 41 53 74 107 128 59 53 56 65 62 152 104 199 
145 199 68 47 62 59 95 53 71 83 74 59 101 199 199 
146 167 77 83 80 83 77 59 44 68 116 80 77 95 199 
