37 86 44 56 71 26 47 53 38 62 53 68 65 53 74 65 68 77 104 131 5 134 131 191 199 
38 110 92 35 56 59 62 56 53 62 80 68 83 47 62 68 80 128 59 149 68 83 188 199 199 
39 170 68 44 47 77 47 53 77 59 83 71 47 65 74 80 62 56 83 74 80 113 199 167 199 
40 140 77 29 62 71 56 68 59 53 35 59 68 113 80 74 74 71 92 152 80 101 199 199 199 
41 122 59 59 71 65 47 23 44 59 59 65 62 59 89 71 68 71 83 62 65 199 125 110 199 
42 131 65 68 98 86 56 50 38 59 47 83 62 65 53 71 74 62 74 68 119 62 74 176 155 
43 92 71 71 32 59 119 59 59 56 65 62 68 65 47 59 89 77 104 80 56 95 128 199 199 
44 110 83 77 80 59 50 23 74 47 62 71 53 89 44 59 71 59 68 95 65 116 110 179 194 
45 119 74 56 74 14 80 65 62 59 68 59 77 74 59 62 77 92 98 71 74 188 199 185 199 
46 113 62 41 71 65 71 74 89 56 59 47 59 71 53 68 50 56 86 74 56 199 199 92 199 
47 74 62 62 65 68 65 59 71 68 44 59 71 32 74 68 59 65 83 56 122 50 59 170 137 
48 143 77 68 56 62 56 62 59 71 71 71 53 65 8 62 65 35 71 128 80 143 125 199 167 
49 107 71 56 38 59 59 47 62 71 59 53 62 59 56 62 65 65 32 86 74 56 68 62 95 
50 65 68 68 71 50 65 68 59 47 50 59 47 65 68 50 80 86 95 74 80 101 110 116 199 
51 185 77 68 62 68 65 71 65 74 56 44 41 80 71 74 62 140 77 86 125 122 125 149 199 
52 199 41 50 38 26 65 65 65 68 62 68 68 53 80 98 62 77 101 83 104 68 176 199 199 
53 101 50 74 56 59 29 38 38 65 59 53 59 71 11 62 149 53 47 68 92 98 77 68 199 
54 199 89 86 68 59 56 68 77 47 74 47 38 59 74 80 71 80 26 113 77 98 199 110 101 
55 98 68 56 74 68 59 38 59 62 47 41 44 74 62 62 62 71 122 113 77 125 74 199 199 
56 107 59 62 56 77 53 62 71 71 53 68 47 62 56 71 71 77 59 77 50 86 116 199 199 
57 107 71 65 56 71 56 68 71 80 110 56 68 92 71 86 68 47 59 26 71 199 199 199 199 
58 86 56 44 71 53 59 65 50 65 77 89 38 62 47 65 83 116 71 110 167 199 199 140 199 
59 14 74 65 65 65 59 77 68 53 44 59 65 74 50 62 50 77 77 107 68 98 77 199 17 
60 128 80 71 62 56 56 62 71 65 56 44 65 38 50 53 74 80 62 53 71 68 116 199 199 
61 107 26 41 56 59 65 38 59 59 68 56 74 62 53 53 68 74 80 77 158 77 104 199 110 
62 199 80 71 65 71 71 65 68 71 65 68 77 71 80 71 53 68 86 71 59 74 128 199 161 
63 176 86 65 71 74 62 68 44 62 68 56 59 50 71 68 35 77 59 89 155 199 113 119 134 
64 199 101 65 71 62 68 59 50 65 86 62 62 56 68 77 53 59 128 95 44 128 77 179 199 
65 26 59 47 65 56 59 41 59 59 71 68 47 59 68 65 56 71 83 68 83 113 137 199 122 
66 128 65 20 65 62 53 50 80 50 53 71 32 74 65 65 65 71 77 80 149 155 152 199 199 
67 182 92 59 77 65 68 59 77 50 44 74 35 56 110 77 65 101 119 92 128 140 199 125 199 
68 104 23 56 59 62 38 62 68 53 62 77 62 44 62 71 71 41 74 167 59 83 53 199 199 
69 137 83 74 56 53 92 98 59 29 68 53 56 44 77 44 68 68 107 59 185 199 122 89 199 
70 199 71 101 89 71 74 59 71 53 65 59 50 80 59 59 86 68 68 101 92 104 86 170 199 
71 98 56 65 62 41 74 53 44 59 53 65 62 65 71 65 71 77 104 77 98 110 131 199 199 
72 77 47 56 53 56 65 68 65 68 47 59 65 53 86 59 71 68 98 65 98 98 179 89 199 
73 199 107 77 59 59 50 59 68 53 80 44 65 68 65 74 74 74 86 47 80 80 137 143 199 
74 80 47 44 47 44 5 56 62 50 62 59 74 29 65 50 65 71 56 59 44 62 176 179 199 
75 107 32 65 62 62 68 56 56 62 74 59 65 68 65 74 68 71 65 74 199 113 77 122 199 
76 119 47 68 56 8 35 65 68 62 71 50 68 68 62 74 56 68 62 113 59 199 47 44 199 
77 71 53 62 56 62 59 41 59 65 44 32 80 71 68 65 77 68 98 65 188 80 170 95 199 
78 140 74 71 71 71 68 74 71 71 56 68 77 68 71 50 56 71 89 71 44 101 77 179 199 
79 199 80 86 77 71 71 68 68 68 77 65 77 53 59 71 104 77 80 65 95 128 125 152 199 
80 199 86 53 56 65 59 62 86 68 53 65 62 41 68 65 62 77 95 77 80 131 188 199 199 
81 122 35 56 68 41 53 62 62 41 65 68 59 53 71 77 101 83 89 110 89 134 155 199 199 
82 199 92 41 53 59 50 71 74 62 56 56 62 65 77 53 71 71 86 92 134 199 110 194 176 
83 199 71 77 74 50 56 62 62 53 59 143 56 71 59 50 62 104 74 98 137 191 92 199 199 
84 104 65 68 77 71 65 35 71 62 53 68 104 65 113 53 71 68 68 68 59 116 104 167 199 
85 182 65 29 59 71 50 41 65 71 41 71 59 32 68 62 62 110 65 119 92 185 89 199 199 
86 149 68 65 56 71 59 104 77 59 56 47 59 113 44 77 110 80 59 41 77 92 74 199 199 
