18 199 113 74 62 41 35 29 29 32 35 29 199 107 71 59 56 56 53 29 74 65 56 128 86 77 53 68 68 53 56 50 80 80 77 77 53 38 65 29 65 62 62 56 95 
19 155 83 59 44 44 119 47 26 47 44 38 194 107 62 59 89 95 86 50 65 56 50 199 185 77 74 77 59 68 56 59 68 53 107 59 74 68 89 86 104 83 80 107 11 
20 158 74 47 32 29 44 98 80 65 62 53 199 143 89 80 83 77 62 62 74 98 101 199 167 128 95 83 32 56 83 65 86 56 68 65 53 62 77 59 59 107 41 77 119 
21 170 83 50 35 29 20 77 68 53 53 68 199 125 80 80 65 59 23 41 77 38 56 122 95 143 104 92 59 74 71 35 50 71 68 35 83 92 104 71 65 86 95 83 113 
22 164 77 44 32 26 20 17 17 23 26 26 146 65 56 62 23 71 53 38 65 62 59 95 77 68 71 89 101 74 35 65 50 65 68 38 32 68 74 71 59 62 65 89 140 
23 167 92 59 44 32 26 17 26 17 17 17 155 68 38 62 50 29 56 62 56 47 38 95 62 71 65 41 23 41 32 29 65 68 65 59 14 71 65 65 83 62 86 107 113 
24 173 92 59 47 38 35 71 80 80 17 14 199 104 74 74 32 62 71 68 65 80 80 199 199 62 50 116 41 62 59 41 59 59 65 86 80 62 44 53 65 107 71 62 113 
25 98 50 26 20 17 14 14 14 17 20 29 137 59 53 56 65 56 53 59 53 65 62 86 53 50 68 38 32 68 53 53 50 68 68 140 56 50 80 62 65 68 65 77 77 
26 161 101 59 41 38 32 29 56 41 35 26 199 119 59 59 71 53 59 56 59 59 56 83 68 62 59 44 53 56 74 95 92 113 65 71 68 50 95 68 104 62 113 110 137 
27 199 149 89 62 53 44 44 41 38 35 32 199 113 44 77 92 65 44 56 50 47 62 199 101 56 74 71 68 74 68 35 53 56 89 62 50 59 59 44 47 41 59 95 131 
28 164 104 62 47 44 41 35 32 29 26 26 199 176 107 86 65 53 35 65 56 17 71 128 77 80 53 59 74 62 71 53 44 26 77 74 92 77 101 77 53 53 53 77 68 
29 182 92 62 53 50 41 32 29 32 29 35 199 113 77 83 62 80 86 74 101 50 53 199 197 122 137 80 56 71 65 5 23 62 107 74 71 62 77 74 68 50 77 53 119 
30 170 95 62 53 41 38 32 29 26 23 20 199 134 80 65 56 50 68 50 65 83 89 191 104 80 8 71 56 68 62 92 71 68 53 50 47 65 53 62 59 65 71 65 68 
31 134 71 53 41 128 86 65 59 56 116 131 170 104 65 56 47 50 53 56 62 53 62 95 62 122 140 80 65 74 62 71 68 68 83 74 59 50 98 59 65 68 107 47 89 
32 199 199 116 77 62 47 41 35 32 32 35 199 83 80 56 47 56 41 71 32 68 35 128 80 41 59 101 119 62 62 47 65 53 65 62 53 53 59 113 71 71 68 83 77 
33 199 128 71 53 44 41 35 101 131 20 47 199 199 128 95 74 71 62 53 53 44 59 131 80 68 77 50 86 107 77 56 68 56 65 62 68 56 86 65 71 59 65 83 74 
34 199 197 128 89 62 146 122 68 83 199 92 199 199 74 131 62 65 68 62 65 56 74 107 104 74 44 62 62 44 35 77 47 71 113 68 80 59 92 71 80 65 80 143 83 
35 149 74 41 32 32 29 26 26 23 56 44 199 176 128 59 65 56 59 44 59 53 41 116 86 83 83 92 89 44 83 44 59 56 71 71 74 83 92 74 41 56 89 83 199 
36 122 62 32 26 23 23 110 59 44 74 35 179 83 68 65 65 65 68 56 74 38 65 107 62 53 53 71 53 59 71 62 68 56 62 98 77 71 65 74 80 80 83 131 137 
37 131 65 50 35 38 32 26 23 23 20 20 185 101 68 65 53 32 41 53 50 11 47 131 77 41 53 59 56 50 62 80 71 71 26 50 98 44 62 74 68 86 56 44 116 
38 199 199 155 113 89 80 83 50 44 38 29 199 110 71 59 56 62 47 23 38 35 50 128 89 110 83 62 65 53 47 47 59 59 98 89 71 71 80 5 56 53 56 68 89 
39 199 119 74 68 56 50 38 41 41 68 47 199 104 65 80 86 83 71 77 71 71 59 155 92 92 35 68 53 104 32 74 110 80 77 119 68 95 68 77 80 86 71 92 128 
40 199 116 80 59 44 41 59 71 29 26 23 199 143 89 77 68 116 62 65 35 50 65 137 113 56 38 56 65 53 71 68 95 89 86 53 62 71 59 59 110 80 59 50 143 
41 167 89 59 44 38 32 26 26 23 20 20 137 62 65 56 50 59 41 50 68 59 56 137 83 68 56 65 68 65 47 68 74 41 47 65 68 65 65 65 83 53 86 74 29 
42 199 137 77 53 41 32 29 23 20 23 20 173 113 74 17 47 44 104 35 77 95 50 137 140 92 80 98 98 98 68 59 59 56 101 65 92 56 86 80 62 80 26 56 38 
43 185 95 56 41 32 29 26 20 32 32 38 182 98 83 77 26 59 53 59 62 17 41 158 68 59 53 56 68 53 56 56 56 56 56 68 71 62 80 68 65 77 77 107 110 
44 199 199 116 80 83 59 44 41 38 32 134 199 140 77 74 41 83 62 50 65 74 38 188 104 86 77 83 77 137 92 74 65 68 125 95 50 71 65 62 47 77 74 122 65 
45 199 113 101 86 68 62 53 35 20 41 29 155 86 68 47 56 35 53 56 53 65 53 110 44 65 62 62 44 62 71 74 71 68 65 80 68 68 74 56 71 77 53 101 167 
46 199 116 62 47 35 32 29 29 32 29 38 199 199 53 38 65 44 65 65 68 62 62 149 83 65 92 53 44 44 65 62 53 68 65 65 62 71 71 101 107 80 86 107 131 
47 164 83 50 41 32 26 26 29 29 26 26 199 86 74 56 47 62 65 65 50 17 59 89 68 62 62 56 62 56 53 59 56 65 101 65 41 38 56 56 68 17 62 68 68 
48 199 199 128 95 77 65 56 47 41 35 41 199 149 98 41 62 62 68 56 47 74 62 199 116 74 59 68 53 53 71 74 68 44 50 125 86 125 68 65 62 83 56 80 86 
49 158 74 44 35 29 23 20 17 14 17 11 164 80 77 80 86 56 65 68 65 50 56 185 92 65 65 62 74 68 41 59 59 59 71 59 8 65 71 110 68 98 80 71 77 
50 116 62 41 32 35 38 41 32 29 20 29 149 83 41 47 62 65 44 47 53 44 44 68 56 65 68 59 56 53 62 62 56 47 53 62 29 104 80 89 80 65 110 62 113 
51 199 152 80 68 53 86 68 53 50 41 56 199 152 89 74 98 74 56 26 65 59 41 199 26 110 74 86 59 77 59 71 44 71 164 86 56 68 68 65 47 74 71 62 71 
52 125 59 35 29 26 23 23 20 23 71 20 199 199 128 74 71 71 47 62 32 53 74 131 59 122 83 59 68 56 62 56 59 56 56 62 62 74 74 71 110 59 92 119 74 
53 197 92 59 41 38 38 35 29 23 26 23 199 110 74 62 62 62 50 47 59 35 26 176 107 119 17 89 86 86 74 41 65 56 83 53 65 71 62 65 77 86 59 110 83 
54 107 68 199 149 110 95 125 29 32 122 47 199 173 170 125 71 65 56 68 29 26 53 199 197 107 71 122 68 104 56 68 47 68 89 65 59 86 98 59 89 74 89 95 86 
55 199 98 59 44 32 35 38 32 26 35 77 199 113 65 68 53 50 56 59 56 38 62 17 56 74 71 62 53 56 62 65 71 56 80 62 50 53 92 56 77 62 86 77 134 
56 194 89 56 41 32 29 26 137 86 77 68 149 62 53 26 59 47 50 68 17 62 53 92 71 77 86 110 77 101 68 56 44 65 68 65 74 56 77 68 50 86 65 77 140 
57 176 83 50 32 29 68 53 47 38 38 23 199 110 125 95 71 77 71 71 68 92 92 128 68 29 62 74 53 62 53 62 68 59 74 71 50 68 53 65 86 80 107 86 107 
58 199 137 77 53 44 38 41 32 26 20 29 199 199 92 53 32 44 56 47 26 53 38 173 122 80 65 56 74 59 41 65 56 44 68 65 83 56 68 59 83 74 104 140 83 
59 197 86 47 32 26 26 26 29 32 47 113 199 110 56 32 56 50 59 38 56 41 47 134 77 71 56 71 80 62 74 56 68 47 74 71 68 92 56 92 62 74 86 107 101 
60 199 110 65 50 41 44 32 32 62 44 71 164 80 74 71 65 71 68 68 53 80 74 179 107 74 59 56 62 71 44 47 59 38 77 92 80 83 56 65 56 80 128 86 77 
