65 46 52 42 53 49 50 54 54 67 63 54 58 58 60 155 81 199 92 199 199 199 
66 34 38 28 26 52 54 57 83 132 116 143 152 129 128 99 113 199 199 199 156 199 
67 65 56 62 59 53 53 55 135 59 60 63 50 199 61 54 48 87 199 85 199 199 
68 44 67 64 66 67 61 60 61 58 55 57 58 56 52 47 55 199 193 137 199 199 
69 54 119 81 103 47 60 56 57 63 199 65 162 199 61 199 199 199 199 199 199 199 
70 67 61 59 51 56 58 56 54 57 55 62 147 78 199 199 173 137 179 199 145 199 
71 28 34 43 50 46 54 47 48 45 53 57 84 199 77 123 199 192 199 199 199 199 
72 92 50 98 69 73 86 94 127 114 195 73 199 138 199 89 199 199 99 199 199 83 
73 85 73 61 56 63 81 72 73 79 89 71 105 144 199 199 159 199 199 187 111 199 
74 38 144 110 107 183 114 107 123 128 90 143 139 123 69 199 199 199 177 199 199 199 
75 65 65 49 51 58 51 51 54 48 130 62 89 199 89 81 199 143 199 199 131 199 
76 74 76 56 64 60 71 64 73 54 54 50 56 60 56 60 199 199 199 199 199 199 
77 53 100 89 84 78 91 177 103 124 89 104 199 199 199 199 199 199 199 82 161 199 
78 74 53 60 55 62 56 52 51 50 50 56 73 78 110 195 128 77 85 199 199 199 
79 32 33 45 39 36 33 39 36 34 36 48 44 40 44 47 29 54 36 50 68 66 
80 58 59 56 55 55 46 66 54 79 63 76 134 149 113 79 86 199 199 199 199 199 
81 117 97 82 70 76 58 84 62 115 93 70 145 199 111 198 87 142 95 199 199 199 
82 34 40 28 31 29 26 32 35 34 33 84 199 199 199 199 25 199 199 199 199 199 
83 69 62 54 52 62 64 68 49 46 55 52 56 62 65 63 61 199 145 199 199 199 
84 34 56 33 87 199 199 199 102 157 128 90 95 97 199 87 199 125 199 199 199 199 
85 83 75 59 59 74 53 50 100 56 199 199 64 117 76 199 199 199 199 199 199 199 
86 40 38 36 45 42 38 43 44 42 40 38 40 41 40 38 40 39 33 42 40 45 
87 86 65 67 65 61 61 62 60 59 58 60 59 53 51 67 59 57 65 69 199 199 
88 120 93 100 82 72 86 99 99 71 85 120 99 56 199 199 121 139 175 199 199 199 
89 56 70 55 81 51 61 56 48 55 50 57 41 74 63 199 90 199 199 168 112 199 
90 70 77 48 62 63 57 127 93 58 61 83 115 72 60 83 199 199 199 199 199 199 
91 43 54 50 51 119 157 33 198 128 105 199 145 199 143 199 83 199 199 199 199 199 
92 89 94 84 79 81 65 55 123 199 132 116 199 199 186 199 187 199 199 154 199 191 
93 22 31 26 30 40 38 50 94 88 69 125 178 115 79 199 113 168 199 199 199 199 
94 53 50 52 51 50 49 63 115 110 97 103 199 199 199 199 199 199 199 199 199 199 
95 56 82 55 51 70 74 72 63 98 80 66 97 179 199 138 94 199 199 146 93 199 
96 67 88 49 85 75 61 55 75 81 77 199 69 85 194 101 147 199 199 199 199 199 
97 39 32 39 37 78 72 68 63 65 64 55 65 66 63 53 66 199 73 77 57 199 
98 47 61 61 58 55 60 59 56 53 62 199 106 76 140 166 188 135 137 199 199 199 
99 24 25 22 38 36 36 38 36 25 30 74 76 74 72 84 84 84 199 199 199 50 
100 87 58 45 63 78 83 136 104 72 133 78 140 96 117 70 199 199 199 199 95 199 
101 19 14 40 46 41 44 46 36 114 199 122 171 95 97 199 148 199 199 199 199 199 
102 77 56 48 51 55 59 156 199 199 173 138 96 199 79 115 158 199 168 199 199 199 
103 59 57 49 61 51 65 63 61 59 81 199 95 81 199 199 178 199 88 199 199 199 
104 37 27 22 20 62 55 52 46 55 41 58 47 41 52 49 47 49 48 52 51 50 
105 56 69 54 51 45 52 62 67 54 59 73 75 60 199 199 199 199 199 199 199 199 
106 65 35 39 44 48 42 39 38 48 43 87 101 199 199 199 97 73 199 185 180 103 
